NPs,coresize,hydrosize,surfcharge,surfarea,Ec,Expotime,dosage,e,NOxygen,class
Fe2O3,42.5,957,-8.2,82.8,-4.99,24,50,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,24,100,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,12,0.001,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,12,0.01,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,12,0.1,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,12,1,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,12,5,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,12,10,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,12,20,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,12,50,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,12,100,1.83,3,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,20,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,40,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,60,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,80,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,100,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,120,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,150,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,0.00001,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,20,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,40,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,60,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,80,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,100,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,120,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,150,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,0.00001,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,20,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,40,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,60,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,80,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,100,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,120,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,150,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,20,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,40,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,60,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,80,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,100,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,120,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,24,150,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,0.00001,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,20,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,40,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,60,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,80,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,100,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,120,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,6,150,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,0.00001,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,20,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,40,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,60,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,80,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,100,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,120,1.54,2,nonToxic
TiO2,25,504.5,-10.7,210,-4.16,3,150,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,20,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,40,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,60,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,80,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,100,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,120,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,150,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,0.00001,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,20,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,40,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,60,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,80,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,100,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,120,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,150,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,0.00001,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,20,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,40,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,60,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,80,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,100,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,120,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,150,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,20,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,40,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,60,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,80,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,100,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,120,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,24,150,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,0.00001,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,20,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,40,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,60,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,80,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,100,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,120,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,6,150,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,0.00001,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,20,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,40,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,60,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,80,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,100,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,120,1.54,2,nonToxic
TiO2,25,228.3,-10.7,40,-4.16,3,150,1.54,2,nonToxic
TiO2,21,74,-9.42,57,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,21,74,-9.42,57,-4.16,24,150,1.54,2,nonToxic
TiO2,21,74,-9.42,57,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,21,74,-9.42,57,-4.16,24,150,1.54,2,nonToxic
TiO2,21,74,-9.42,57,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,21,74,-9.42,57,-4.16,24,150,1.54,2,nonToxic
TiO2,21,74,-9.42,57,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,21,74,-9.42,57,-4.16,24,150,1.54,2,nonToxic
TiO2,21,74,-9.42,57,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,21,74,-9.42,57,-4.16,24,150,1.54,2,nonToxic
TiO2,21,74,-9.42,57,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,21,74,-9.42,57,-4.16,24,150,1.54,2,nonToxic
TiO2,21,133,-9.42,57,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,21,133,-9.42,57,-4.16,24,150,1.54,2,nonToxic
TiO2,21,133,-9.42,57,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,21,133,-9.42,57,-4.16,24,150,1.54,2,nonToxic
TiO2,21,327,-9.42,57,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,21,327,-9.42,57,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,40,322.3,-25.27,50,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,40,322.3,-25.27,50,-4.16,24,1,1.54,2,nonToxic
TiO2,40,322.3,-25.27,50,-4.16,24,5,1.54,2,nonToxic
TiO2,40,322.3,-25.27,50,-4.16,24,10,1.54,2,nonToxic
TiO2,40,322.3,-25.27,50,-4.16,12,0.00001,1.54,2,nonToxic
TiO2,40,322.3,-25.27,50,-4.16,12,1,1.54,2,nonToxic
TiO2,40,322.3,-25.27,50,-4.16,12,5,1.54,2,nonToxic
TiO2,40,322.3,-25.27,50,-4.16,12,10,1.54,2,nonToxic
TiO2,40,322.3,-25.27,50,-4.16,6,0.00001,1.54,2,nonToxic
TiO2,40,322.3,-25.27,50,-4.16,6,1,1.54,2,nonToxic
TiO2,40,322.3,-25.27,50,-4.16,6,5,1.54,2,nonToxic
TiO2,40,322.3,-25.27,50,-4.16,6,10,1.54,2,nonToxic
TiO2,20,707,-12.1,50.4,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,20,707,-12.1,50.4,-4.16,24,10,1.54,2,nonToxic
TiO2,20,707,-12.1,50.4,-4.16,24,30,1.54,2,nonToxic
TiO2,20,707,-12.1,50.4,-4.16,24,100,1.54,2,nonToxic
TiO2,20,707,-12.1,50.4,-4.16,24,300,1.54,2,nonToxic
TiO2,10,1457,-11,166,-4.16,24,0.00001,1.54,2,nonToxic
TiO2,10,1457,-11,166,-4.16,24,10,1.54,2,nonToxic
TiO2,10,1457,-11,166,-4.16,24,30,1.54,2,nonToxic
TiO2,10,1457,-11,166,-4.16,24,100,1.54,2,nonToxic
TiO2,10,1457,-11,166,-4.16,24,300,1.54,2,nonToxic
TiO2,35,1814,-35.5,66,-4.16,72,0.00001,1.54,2,nonToxic
TiO2,35,1814,-35.5,66,-4.16,72,6.25,1.54,2,nonToxic
TiO2,35,1814,-35.5,66,-4.16,72,12.5,1.54,2,nonToxic
TiO2,35,1814,-35.5,66,-4.16,72,25,1.54,2,nonToxic
TiO2,35,1814,-35.5,66,-4.16,72,50,1.54,2,nonToxic
TiO2,35,1814,-35.5,66,-4.16,12,0.00001,1.54,2,nonToxic
TiO2,35,1814,-35.5,66,-4.16,12,6.25,1.54,2,nonToxic
TiO2,35,1814,-35.5,66,-4.16,12,12.5,1.54,2,nonToxic
TiO2,35,1814,-35.5,66,-4.16,12,25,1.54,2,nonToxic
TiO2,35,1814,-35.5,66,-4.16,12,50,1.54,2,nonToxic
TiO2,30,1843,-30.8,69,-4.16,72,0.00001,1.54,2,nonToxic
TiO2,30,1843,-30.8,69,-4.16,72,6.25,1.54,2,nonToxic
TiO2,30,1843,-30.8,69,-4.16,72,12.5,1.54,2,nonToxic
TiO2,30,1843,-30.8,69,-4.16,72,25,1.54,2,nonToxic
TiO2,30,1843,-30.8,69,-4.16,72,50,1.54,2,nonToxic
TiO2,30,1843,-30.8,69,-4.16,12,0.00001,1.54,2,nonToxic
TiO2,30,1843,-30.8,69,-4.16,12,6.25,1.54,2,nonToxic
TiO2,30,1843,-30.8,69,-4.16,12,12.5,1.54,2,nonToxic
TiO2,30,1843,-30.8,69,-4.16,12,25,1.54,2,nonToxic
TiO2,30,1843,-30.8,69,-4.16,12,50,1.54,2,nonToxic
TiO2,125,1054,-40.8,38,-4.16,72,0.00001,1.54,2,nonToxic
TiO2,125,1054,-40.8,38,-4.16,72,6.25,1.54,2,nonToxic
TiO2,125,1054,-40.8,38,-4.16,72,12.5,1.54,2,nonToxic
TiO2,125,1054,-40.8,38,-4.16,72,25,1.54,2,nonToxic
TiO2,125,1054,-40.8,38,-4.16,72,50,1.54,2,Toxic
TiO2,125,1054,-40.8,38,-4.16,12,0.00001,1.54,2,nonToxic
TiO2,125,1054,-40.8,38,-4.16,12,6.25,1.54,2,nonToxic
TiO2,125,1054,-40.8,38,-4.16,12,12.5,1.54,2,nonToxic
TiO2,125,1054,-40.8,38,-4.16,12,25,1.54,2,nonToxic
TiO2,125,1054,-40.8,38,-4.16,12,50,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,24,0.1,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,24,1,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,24,10,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,24,0.1,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,24,1,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,24,10,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,24,0.1,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,24,1,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,24,10,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,24,100,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,24,0.1,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,24,1,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,24,10,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,24,100,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,48,0.1,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,48,1,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,48,10,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,48,100,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,24,0.1,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,24,1,1.54,2,nonToxic
TiO2,33.7,303,-25.3,42.5,-4.16,24,10,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,48,0.1,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,48,1,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,48,10,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,48,100,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,24,0.1,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,24,1,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,24,10,1.54,2,nonToxic
TiO2,33.7,308,-25.3,42.5,-4.16,24,100,1.54,2,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,24,0.001,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,24,0.01,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,24,0.1,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,24,1,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,24,5,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,24,10,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,24,20,1.65,1,Toxic
ZnO,45.3,310,32.7,21.3,-3.89,24,50,1.65,1,Toxic
ZnO,45.3,310,32.7,21.3,-3.89,24,100,1.65,1,Toxic
ZnO,45.3,310,32.7,21.3,-3.89,12,0.001,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,12,0.01,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,12,0.1,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,12,1,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,12,5,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,12,10,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,12,20,1.65,1,nonToxic
ZnO,45.3,310,32.7,21.3,-3.89,12,50,1.65,1,Toxic
ZnO,45.3,310,32.7,21.3,-3.89,12,100,1.65,1,Toxic
ZnO,115,360,-10,14.4,-3.89,24,10,1.65,1,nonToxic
ZnO,115,360,-10,14.4,-3.89,24,20,1.65,1,nonToxic
ZnO,115,360,-10,14.4,-3.89,24,30,1.65,1,Toxic
ZnO,115,360,-10,14.4,-3.89,24,50,1.65,1,Toxic
ZnO,115,360,-10,14.4,-3.89,24,80,1.65,1,Toxic
ZnO,115,500,-9,14.5,-3.89,24,10,1.65,1,nonToxic
ZnO,115,500,-9,14.5,-3.89,24,20,1.65,1,nonToxic
ZnO,115,500,-9,14.5,-3.89,24,30,1.65,1,nonToxic
ZnO,115,500,-9,14.5,-3.89,24,50,1.65,1,Toxic
ZnO,115,500,-9,14.5,-3.89,24,80,1.65,1,Toxic
ZnO,115,360,-10,14.4,-3.89,24,10,1.65,1,nonToxic
ZnO,115,360,-10,14.4,-3.89,24,20,1.65,1,nonToxic
ZnO,115,360,-10,14.4,-3.89,24,30,1.65,1,Toxic
ZnO,115,360,-10,14.4,-3.89,24,50,1.65,1,Toxic
ZnO,115,360,-10,14.4,-3.89,24,80,1.65,1,Toxic
ZnO,115,500,-9,14.5,-3.89,24,10,1.65,1,nonToxic
ZnO,115,500,-9,14.5,-3.89,24,20,1.65,1,nonToxic
ZnO,115,500,-9,14.5,-3.89,24,30,1.65,1,Toxic
ZnO,115,500,-9,14.5,-3.89,24,50,1.65,1,Toxic
ZnO,115,500,-9,14.5,-3.89,24,80,1.65,1,Toxic
ZnO,60,329,-9.3,7.34,-3.89,24,0.00001,1.65,1,nonToxic
ZnO,60,329,-9.3,7.34,-3.89,24,5,1.65,1,nonToxic
ZnO,60,329,-9.3,7.34,-3.89,24,10,1.65,1,nonToxic
ZnO,60,329,-9.3,7.34,-3.89,24,20,1.65,1,nonToxic
ZnO,60,329,-9.3,7.34,-3.89,24,40,1.65,1,Toxic
ZnO,60,329,-9.3,7.34,-3.89,24,80,1.65,1,Toxic
ZnO,60,320,-7.5,7.34,-3.89,24,0.00001,1.65,1,nonToxic
ZnO,60,320,-7.5,7.34,-3.89,24,5,1.65,1,nonToxic
ZnO,60,320,-7.5,7.34,-3.89,24,10,1.65,1,nonToxic
ZnO,60,320,-7.5,7.34,-3.89,24,20,1.65,1,Toxic
ZnO,60,320,-7.5,7.34,-3.89,24,40,1.65,1,Toxic
ZnO,60,320,-7.5,7.34,-3.89,24,80,1.65,1,Toxic
ZnO,60,936,-2.4,7.34,-3.89,24,0.00001,1.65,1,nonToxic
ZnO,60,936,-2.4,7.34,-3.89,24,5,1.65,1,nonToxic
ZnO,60,936,-2.4,7.34,-3.89,24,10,1.65,1,nonToxic
ZnO,60,936,-2.4,7.34,-3.89,24,20,1.65,1,Toxic
ZnO,60,936,-2.4,7.34,-3.89,24,40,1.65,1,Toxic
ZnO,60,936,-2.4,7.34,-3.89,24,80,1.65,1,Toxic
ZnO,100,273.4,-11.7,20,-3.89,48,0.00001,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,10,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,15,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,20,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,25,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,30,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,35,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,40,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,80,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,24,0.00001,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,24,10,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,24,15,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,24,20,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,24,25,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,24,30,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,24,35,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,24,40,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,24,80,1.65,1,Toxic
ZnO,100,273.4,-11.7,20,-3.89,6,0.00001,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,6,10,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,6,15,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,6,20,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,6,25,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,6,30,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,6,35,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,6,40,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,6,80,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,3,0.00001,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,3,10,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,3,15,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,3,20,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,3,25,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,3,30,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,3,35,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,3,40,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,3,80,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,0.00001,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,10,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,15,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,20,1.65,1,nonToxic
ZnO,100,273.4,-11.7,20,-3.89,48,25,1.65,1,Toxic
ZnO,100,273.4,-11.7,20,-3.89,48,30,1.65,1,Toxic
ZnO,100,273.4,-11.7,20,-3.89,48,35,1.65,1,Toxic
ZnO,100,273.4,-11.7,20,-3.89,48,40,1.65,1,Toxic
ZnO,100,273.4,-11.7,20,-3.89,24,0.00001,1.65,1,nonToxic
